username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
chidalgotv|None|Aclaración: El epicentro del sismo es la zona amazónica norte de #Peru. En #ZamoraChinchipe como en otras provincias del país, se sintió fuerte. @elnoticierotc|1|1|0|1132566350910693376|https://twitter.com/chidalgotv/status/1132566350910693376|175262697|2019-05-26 08:37:14+00:00|Sun May 26 08:37:14 +0000 2019|@elnoticierotc|#Peru #ZamoraChinchipe||
eduardopontoni|None|Duran sintió un fuerte temblor, a las 2h44. epicentro en Yantzaza, Zamora Chinchipe. Aunque el sismo fue más fuerte en frontera con Perú.|0|1|0|1132566100175216640|https://twitter.com/eduardopontoni/status/1132566100175216640|289151615|2019-05-26 08:36:14+00:00|Sun May 26 08:36:14 +0000 2019||||
_Sigma7_|nemorhcp|Señores, el epicentro no fue en Zamora Chinchipe. Fue al norte del Perú en Loreto.|0|2|0|1132565788790067205|https://twitter.com/_Sigma7_/status/1132565788790067205|142322499|2019-05-26 08:35:00+00:00|Sun May 26 08:35:00 +0000 2019||||
_Sigma7_|IGecuador|Señores, el epicentro no fue en Zamora Chinchipe. Fue al norte del Perú en Loreto.|0|0|0|1132565709077266432|https://twitter.com/_Sigma7_/status/1132565709077266432|142322499|2019-05-26 08:34:41+00:00|Sun May 26 08:34:41 +0000 2019||||
ActivaTVEBayas|cgtnenespanol|El epicentro fue en Perú! A más de 400 kilómetros de Zamora Chinchipe.|0|1|0|1132565591523569664|https://twitter.com/ActivaTVEBayas/status/1132565591523569664|288788364|2019-05-26 08:34:13+00:00|Sun May 26 08:34:13 +0000 2019||||
_Sigma7_|tinocotania|Señores, el epicentro no fue en Zamora Chinchipe. Fue al norte del Perú en Loreto.|0|5|1|1132565470220115968|https://twitter.com/_Sigma7_/status/1132565470220115968|142322499|2019-05-26 08:33:44+00:00|Sun May 26 08:33:44 +0000 2019||||
henrydavidrey|ajungbluth|Por qué la flecha está en el Perú si el epicentro fue en Zamora Chinchipe ?|0|0|0|1132565429006819328|https://twitter.com/henrydavidrey/status/1132565429006819328|1431316639|2019-05-26 08:33:34+00:00|Sun May 26 08:33:34 +0000 2019||||
elgeovaespin|ottosonnenh|. @ottosonnenh el EPICENTRO NO FUE EN ZAMORA CHINCHIPE, NO DESINFORME. Usted es autoridad!! El reporte del @IGecuador dice clarito que fue a 431 Km de Yantzaza y en la foto puede ver que la población más cercana es Yurimaguas, Perú. La importancia de conocer el país. #Temblor|4|11|1|1132565366083850240|https://twitter.com/elgeovaespin/status/1132565366083850240|1033754524887011329|2019-05-26 08:33:19+00:00|Sun May 26 08:33:19 +0000 2019|@ottosonnenh @IGecuador|#Temblor||
miha2502|miriamdc12|Es el mismo Miri. Solo que lo están reportando distinto :/ aquí lo reportaron que fue a 400km de Zamora Chinchipe y muchos medios reportaron que el epicentro fue Zamora cuando en realidad se trata del mismo con epicentro en Perú.|0|0|1|1132565101427531776|https://twitter.com/miha2502/status/1132565101427531776|749764107352571905|2019-05-26 08:32:16+00:00|Sun May 26 08:32:16 +0000 2019||||
Morlan1|tego73|En Ecuador, el epicentro fue en #ZamoraChinchipe y su magnitud se sintió en Perú, Colombia y Chile.|0|1|2|1132565075758338048|https://twitter.com/Morlan1/status/1132565075758338048|229098342|2019-05-26 08:32:10+00:00|Sun May 26 08:32:10 +0000 2019||#ZamoraChinchipe||
williamludena|None|Señores, el epicentro no fue en Zamora Chinchipe. Fue al norte del Perú en Loreto.|9|22|2|1132564955629273088|https://twitter.com/williamludena/status/1132564955629273088|274670735|2019-05-26 08:31:42+00:00|Sun May 26 08:31:42 +0000 2019||||
JonathOrl|janethinostroza|El epicentro fue en Perú, a 470 km de Zamora Chinchipe|0|0|0|1132564829724663809|https://twitter.com/JonathOrl/status/1132564829724663809|906109807534497792|2019-05-26 08:31:12+00:00|Sun May 26 08:31:12 +0000 2019||||
elangelazul|ottosonnenh|El epicentro fue en el norte de Perú, 430 kms al sur de Zamora Chinchipe. https://twitter.com/ottosonnenh/status/1132561299697803270 …|2|2|0|1132564464778305538|https://twitter.com/elangelazul/status/1132564464778305538|44519799|2019-05-26 08:29:45+00:00|Sun May 26 08:29:45 +0000 2019||||https://twitter.com/ottosonnenh/status/1132561299697803270
tavomoreira1|IGecuador|Entiendo q es a 431 Km de Zamora Chinchipe y ahí es d 7.7 epicentro es en Peru de 8.7|0|0|0|1132564130437771265|https://twitter.com/tavomoreira1/status/1132564130437771265|3040169889|2019-05-26 08:28:25+00:00|Sun May 26 08:28:25 +0000 2019||||
